# Setpoints,Voltages
2.600000000000000000e+02,2.083763499999999880e-01
2.610000000000000000e+02,2.091645999999999783e-01
2.620000000000000000e+02,2.099362999999999924e-01
2.630000000000000000e+02,2.106959999999999944e-01
2.640000000000000000e+02,2.114878499999999772e-01
2.650000000000000000e+02,2.122602500000000114e-01
2.660000000000000000e+02,2.130293500000000062e-01
2.670000000000000000e+02,2.138220000000000121e-01
2.680000000000000000e+02,2.145596999999999921e-01
2.690000000000000000e+02,2.153299999999999659e-01
2.700000000000000000e+02,2.161014499999999727e-01
2.710000000000000000e+02,2.168726499999999446e-01
2.720000000000000000e+02,2.176126500000000186e-01
2.730000000000000000e+02,2.184046000000000043e-01
2.740000000000000000e+02,2.191636000000000417e-01
2.750000000000000000e+02,2.199378499999999903e-01
2.760000000000000000e+02,2.207135000000000069e-01
2.770000000000000000e+02,2.214981500000000048e-01
2.780000000000000000e+02,2.222705499999999557e-01
2.790000000000000000e+02,2.230694999999999761e-01
2.800000000000000000e+02,2.238441000000000458e-01
2.810000000000000000e+02,2.246107999999999993e-01
2.820000000000000000e+02,2.253668000000000338e-01
2.830000000000000000e+02,2.261414000000000202e-01
2.840000000000000000e+02,2.269305999999999823e-01
2.850000000000000000e+02,2.276977999999999225e-01
2.860000000000000000e+02,2.284667000000000225e-01
2.870000000000000000e+02,2.292373500000000064e-01
2.880000000000000000e+02,2.300051499999999916e-01
2.890000000000000000e+02,2.307810499999999876e-01
2.900000000000000000e+02,2.315670999999999979e-01
2.910000000000000000e+02,2.323380999999999919e-01
2.920000000000000000e+02,2.331151499999999932e-01
2.930000000000000000e+02,2.338632500000000225e-01
2.940000000000000000e+02,2.346317499999999723e-01
2.950000000000000000e+02,2.353994999999999282e-01
2.960000000000000000e+02,2.361930499999999600e-01
2.970000000000000000e+02,2.369327500000000808e-01
2.980000000000000000e+02,2.377307499999999629e-01
2.990000000000000000e+02,2.385108999999999979e-01
3.000000000000000000e+02,2.392563000000000328e-01
3.010000000000000000e+02,2.400296500000000111e-01
3.020000000000000000e+02,2.408240999999999854e-01
3.030000000000000000e+02,2.415684500000000179e-01
3.040000000000000000e+02,2.423712000000000089e-01
3.050000000000000000e+02,2.431550999999999851e-01
3.060000000000000000e+02,2.439082999999999668e-01
3.070000000000000000e+02,2.447167500000000384e-01
3.080000000000000000e+02,2.455153499999999656e-01
3.090000000000000000e+02,2.462873000000000145e-01
3.100000000000000000e+02,2.470473500000000266e-01
3.110000000000000000e+02,2.478263499999999175e-01
3.120000000000000000e+02,2.486440500000000053e-01
3.130000000000000000e+02,2.493905499999999886e-01
3.140000000000000000e+02,2.501692999999999834e-01
3.150000000000000000e+02,2.509189500000000295e-01
3.160000000000000000e+02,2.517159500000000216e-01
3.170000000000000000e+02,2.524272000000000182e-01
3.180000000000000000e+02,2.532410999999999968e-01
3.190000000000000000e+02,2.540187999999999890e-01
3.200000000000000000e+02,2.548259499999999678e-01
3.210000000000000000e+02,2.556726000000000276e-01
3.220000000000000000e+02,2.564828499999999289e-01
3.230000000000000000e+02,2.572639499999999080e-01
3.240000000000000000e+02,2.580701499999999982e-01
3.250000000000000000e+02,2.589072999999999514e-01
3.260000000000000000e+02,2.597046499999999813e-01
3.270000000000000000e+02,2.605128999999999917e-01
3.280000000000000000e+02,2.613444500000000059e-01
3.290000000000000000e+02,2.621421999999999919e-01
3.300000000000000000e+02,2.630096000000000100e-01
3.310000000000000000e+02,2.638261499999999815e-01
3.320000000000000000e+02,2.646210500000000243e-01
3.330000000000000000e+02,2.654466999999999799e-01
